#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.124307E+00   0.772861E+06   0.764405E+06   0.108391E+02   0.108390E+02   0.188546E+05   0.768372E+06   0.771532E+06   0.768372E+06  -0.605036E-01   0.744968E+06   0.744824E+06   0.404147E+00
   0.127056E+00   0.756683E+06   0.748941E+06   0.101591E+02   0.101590E+02   0.178033E+05   0.752369E+06   0.755466E+06   0.752369E+06  -0.592435E-01   0.729451E+06   0.729325E+06   0.347470E+00
   0.129805E+00   0.740211E+06   0.733012E+06   0.952214E+01   0.952207E+01   0.168064E+05   0.736047E+06   0.739080E+06   0.736047E+06  -0.579582E-01   0.713626E+06   0.713512E+06   0.307800E+00
   0.132554E+00   0.723228E+06   0.716395E+06   0.892210E+01   0.892203E+01   0.158552E+05   0.719188E+06   0.722154E+06   0.719188E+06  -0.566308E-01   0.697282E+06   0.697174E+06   0.284205E+00
   0.135304E+00   0.705658E+06   0.699019E+06   0.835517E+01   0.835511E+01   0.149460E+05   0.701719E+06   0.704615E+06   0.701719E+06  -0.552552E-01   0.680346E+06   0.680240E+06   0.274835E+00
   0.138053E+00   0.687558E+06   0.680957E+06   0.781954E+01   0.781949E+01   0.140773E+05   0.683697E+06   0.686521E+06   0.683697E+06  -0.538361E-01   0.662875E+06   0.662766E+06   0.277156E+00
   0.140802E+00   0.669077E+06   0.662387E+06   0.731457E+01   0.731452E+01   0.132490E+05   0.665276E+06   0.668025E+06   0.665276E+06  -0.523856E-01   0.645018E+06   0.644902E+06   0.288212E+00
   0.143551E+00   0.650421E+06   0.643545E+06   0.684017E+01   0.684012E+01   0.124630E+05   0.646666E+06   0.649340E+06   0.646666E+06  -0.509202E-01   0.626977E+06   0.626852E+06   0.304878E+00
   0.146300E+00   0.631815E+06   0.624693E+06   0.639633E+01   0.639629E+01   0.117208E+05   0.628097E+06   0.630696E+06   0.628097E+06  -0.494580E-01   0.608976E+06   0.608841E+06   0.324096E+00
   0.149049E+00   0.613480E+06   0.606089E+06   0.598291E+01   0.598287E+01   0.110241E+05   0.609794E+06   0.612319E+06   0.609794E+06  -0.480168E-01   0.591234E+06   0.591088E+06   0.343077E+00
